1	N	52
1	J	52
2	N	52
2	J	53
1	W	53
3	N	67
3	J	68
3	W	71
2	R	72
2	E	77
1	J	77
4	N	77
4	J	78
1	W	78
5	N	110
5	J	110
4	W	111
4	J	113
5	E	113
4	W	118
4	J	2302
4	W	2302
4	J	2387
4	W	2387
4	J	2395
4	W	2395
4	J	2459
4	W	2459
4	J	2805
6	N	2807
6	J	2807
4	W	2808
6	E	2813
4	J	2813
7	N	2814
7	J	2814
4	W	2815
4	J	2817
7	E	2817
4	W	2818
4	J	2866
4	W	2866
3	J	3070
3	W	3070
4	J	4535
4	W	4536
4	J	4632
4	W	4632
4	J	4732
4	W	4732
4	J	4829
4	W	4829
4	J	5271
4	W	5271
4	J	5348
4	W	5348
4	J	5415
4	W	5415
4	J	5509
4	W	5509
4	J	5668
4	W	5668
4	J	5728
4	W	5728
4	J	5790
4	W	5790
4	J	5849
4	W	5849
4	J	5942
4	W	5942
4	J	6002
4	W	6002
4	J	6572
8	N	6572
8	J	6573
4	W	6573
8	E	6576
4	J	6576
9	N	6576
9	J	6577
4	W	6577
4	J	6579
9	E	6580
4	W	6580
4	J	6629
4	W	6629
4	J	9596
4	W	9596
4	J	9719
4	W	9719
4	J	9826
4	W	9827
4	J	9890
4	W	9890
4	J	10054
4	W	10055
4	J	10163
4	W	10163
4	J	10243
4	W	10243
4	J	10324
4	W	10324
4	J	10613
10	N	10614
10	J	10615
4	W	10615
