1	N	48
1	J	48
2	N	49
2	J	49
1	W	49
3	N	63
3	J	64
3	W	68
2	R	68
2	E	73
1	J	73
4	N	73
4	J	74
1	W	74
5	N	106
5	J	106
4	W	107
4	J	109
5	E	109
4	W	114
4	J	3026
4	W	3026
3	J	3066
3	W	3066
4	J	3139
4	W	3140
4	J	3677
4	W	3677
4	J	3783
4	W	3783
4	J	4137
4	W	4137
4	J	4187
4	W	4187
4	J	4214
4	W	4214
4	J	4287
4	W	4287
4	J	4702
4	W	4702
4	J	4787
4	W	4787
4	J	4825
4	W	4825
4	J	4890
4	W	4890
4	J	5281
4	W	5286
4	J	5423
4	W	5423
4	J	6373
6	N	6374
6	J	6374
4	W	6375
7	N	6376
7	J	6377
8	N	6377
8	J	6377
9	N	6378
9	J	6378
10	N	6378
10	J	6379
11	N	6379
11	J	6379
6	W	6380
7	W	6440
11	R	6440
8	J	6500
11	R	6500
7	J	6545
7	W	6545
8	J	6560
11	R	6560
8	J	6620
11	R	6620
7	J	6650
7	W	6650
8	J	6680
11	R	6680
8	J	6740
11	R	6740
7	J	6755
7	W	6755
8	J	6800
11	R	6800
7	J	6860
7	W	6860
11	R	6860
8	J	6920
11	R	6920
7	J	6965
7	W	6965
8	J	6980
11	R	6980
8	J	7040
11	R	7040
7	J	7070
7	W	7070
8	J	7100
11	R	7100
8	J	7160
11	R	7160
7	J	7175
7	W	7175
8	W	7210
11	R	7210
9	J	7255
11	R	7255
7	J	7285
7	W	7285
9	J	7300
11	R	7300
8	J	7315
8	W	7315
9	J	7345
11	R	7345
7	J	7390
7	W	7390
11	R	7390
8	J	7420
8	W	7420
9	J	7435
11	R	7435
9	J	7480
11	R	7480
7	J	7495
7	E	7495
6	J	7495
6	E	7495
4	J	7495
12	N	7496
12	J	7496
4	W	7497
8	J	7527
8	W	7527
4	J	7529
12	E	7529
4	W	7530
11	R	7530
9	J	7575
11	R	7575
9	J	7620
11	R	7620
8	J	7635
8	W	7635
9	J	7665
11	R	7665
9	J	7710
11	R	7710
8	J	7740
8	W	7740
9	J	7755
11	R	7755
9	W	7795
11	R	7795
10	J	7825
11	R	7825
8	J	7855
8	W	7855
11	R	7855
10	J	7885
11	R	7885
9	J	7900
9	W	7900
10	J	7915
11	R	7915
10	J	7945
11	R	7945
8	J	7960
8	W	7960
10	J	7975
11	R	7975
9	J	8005
9	W	8005
11	R	8005
10	J	8035
11	R	8035
8	J	8065
8	E	8065
1	J	8065
1	W	8065
11	R	8065
10	J	8095
11	R	8095
9	J	8110
9	W	8110
10	J	8125
11	R	8125
10	J	8155
11	R	8155
10	J	8185
11	R	8185
10	W	8200
11	R	8200
9	J	8215
9	W	8215
11	R	8215
10	J	8305
10	W	8305
11	R	8305
9	J	8320
9	W	8320
11	R	8320
11	W	8385
10	J	8406
10	W	8406
9	J	8421
9	E	8421
1	J	8421
1	W	8421
11	J	8486
11	W	8486
10	J	8507
10	W	8507
11	J	8587
11	E	8587
1	J	8587
1	W	8587
10	J	8608
10	E	8608
1	J	8608
1	W	8608
4	J	9276
4	W	9276
4	J	9371
4	W	9371
4	J	9388
4	W	9388
4	J	9423
4	W	9423
4	J	9566
4	W	9566
4	J	9639
4	W	9639
4	J	9642
4	W	9642
4	J	9716
4	W	9716
4	J	10061
13	N	10062
13	J	10063
4	W	10063
